iter	Passed	Remaining
0	103	102902
1	107	53820
2	112	37303
3	115	28811
4	118	23542
5	120	19980
6	123	17588
7	128	15965
8	133	14677
9	137	13564
10	139	12551
11	144	11877
12	147	11206
13	150	10607
14	153	10092
15	156	9613
16	159	9221
17	163	8927
18	166	8594
19	168	8280
20	172	8054
21	175	7821
22	178	7589
23	181	7381
24	184	7208
25	187	7011
26	189	6819
27	191	6647
28	194	6499
29	195	6319
30	196	6154
31	198	6013
32	200	5878
33	202	5758
34	204	5635
35	206	5524
36	209	5461
37	211	5359
38	213	5258
39	214	5154
40	216	5066
41	218	4980
42	221	4928
43	223	4860
44	225	4786
45	226	4706
46	228	4629
47	229	4554
48	231	4494
49	233	4438
50	234	4370
51	236	4317
52	238	4266
53	240	4210
54	242	4166
55	244	4121
56	246	4077
57	247	4024
58	249	3981
59	251	3942
60	254	3910
61	255	3866
62	258	3840
63	260	3804
64	262	3780
65	266	3770
66	268	3739
67	271	3727
68	278	3754
69	280	3725
70	282	3692
71	284	3662
72	286	3635
73	287	3603
74	290	3579
75	293	3567
76	297	3565
77	299	3545
78	301	3520
79	303	3489
80	305	3471
81	308	3452
82	310	3428
83	312	3408
84	313	3377
85	316	3365
86	317	3332
87	319	3308
88	323	3308
89	325	3288
90	327	3271
91	329	3249
92	330	3227
93	332	3203
94	334	3182
95	336	3166
96	338	3147
97	339	3127
98	343	3123
99	346	3120
100	348	3100
101	349	3077
102	352	3068
103	354	3052
104	356	3036
105	357	3016
106	359	3003
107	361	2987
108	363	2973
109	365	2958
110	367	2940
111	368	2923
112	370	2908
113	372	2897
114	374	2883
115	376	2872
116	379	2865
117	381	2851
118	382	2833
119	384	2821
120	386	2805
121	389	2806
122	390	2787
123	392	2773
124	394	2758
125	396	2747
126	397	2734
127	398	2718
128	400	2705
129	402	2691
130	403	2678
131	405	2669
132	408	2661
133	410	2654
134	412	2641
135	416	2643
136	417	2631
137	419	2618
138	421	2610
139	423	2599
140	425	2590
141	426	2578
142	429	2571
143	431	2562
144	432	2551
145	435	2544
146	436	2535
147	438	2524
148	440	2516
149	442	2508
150	445	2502
151	447	2494
152	448	2482
153	450	2473
154	452	2467
155	454	2459
156	456	2449
157	458	2441
158	460	2436
159	462	2426
160	467	2437
161	470	2432
162	472	2426
163	474	2420
164	476	2413
165	478	2403
166	480	2397
167	483	2392
168	484	2383
169	487	2378
170	489	2373
171	491	2366
172	493	2357
173	495	2353
174	497	2344
175	498	2335
176	500	2325
177	502	2318
178	504	2314
179	506	2308
180	507	2297
181	509	2288
182	510	2279
183	513	2276
184	515	2271
185	517	2262
186	519	2257
187	521	2250
188	523	2245
189	525	2239
190	527	2233
191	529	2228
192	531	2221
193	533	2217
194	535	2208
195	536	2202
196	538	2193
197	539	2185
198	540	2177
199	542	2171
200	544	2164
201	546	2160
202	548	2154
203	551	2153
204	553	2146
205	555	2140
206	557	2134
207	558	2128
208	561	2123
209	563	2119
210	565	2114
211	567	2109
212	569	2102
213	571	2100
214	576	2103
215	580	2107
216	582	2101
217	584	2095
218	586	2092
219	589	2090
220	592	2088
221	594	2082
222	597	2080
223	598	2074
224	601	2072
225	603	2067
226	606	2064
227	608	2059
228	610	2055
229	612	2051
230	615	2047
231	617	2044
232	619	2039
233	622	2037
234	624	2033
235	626	2029
236	628	2024
237	630	2019
238	632	2014
239	634	2010
240	637	2007
241	639	2003
242	645	2010
243	648	2007
244	650	2004
245	652	2000
246	656	2000
247	658	1995
248	660	1991
249	662	1986
250	663	1980
251	666	1977
252	668	1974
253	671	1971
254	675	1972
255	676	1967
256	679	1964
257	683	1964
258	684	1959
259	686	1955
260	689	1952
261	691	1947
262	692	1941
263	695	1937
264	696	1932
265	698	1928
266	700	1922
267	702	1917
268	703	1912
269	706	1909
